final_rank,candidate_id,llm_composite_score,semantic_score,rerank_score,technical_skill_match,career_trajectory,domain_relevance,behavioral_engagement,cultural_fit,bonus_signals,recommendation,reasoning,current_title,current_company,years_of_experience,location,current_industry
1,CAND_0049978,62.8,0.82598525,0.0058655994944274,1.0,8.0,9.4,9.4,7.2,7.4,yes,"Matches 1/13 required skills (embeddings). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 6.6 years experience (senior software engineer (ml) at Sarvam AI), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 69/100). Highly responsive to recruiters (71%). Direct industry match (ai/ml). India-based (Trivandrum, Kerala) — relocation may be needed.",Senior Software Engineer (ML),Sarvam AI,6.6,"Trivandrum, Kerala",AI/ML
2,CAND_0070525,62.55,0.7857944,0.038723386824131,3.0,7.3,8.0,8.9,7.3,4.6,yes,"Matches 4/13 required skills (python, llms, computer vision, embeddings). Missing: a/b testing, fine-tuning, go.... Below required experience: 5.4 years experience (senior software engineer (ml) at Mad Street Den), needs 9+. Actively open to new opportunities. Highly responsive to recruiters (93%). Direct industry match (ai/ml). Location match (Hyderabad, Telangana).",Senior Software Engineer (ML),Mad Street Den,5.4,"Hyderabad, Telangana",AI/ML
3,CAND_0008202,61.55,0.7732954,0.321853756904602,3.0,7.5,9.4,8.7,4.1,3.2,yes,"Matches 4/13 required skills (python, computer vision, llms, rag). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 5.7 years experience (senior software engineer (ml) at Yellow.ai), needs 9+. Direct industry match (ai/ml). India-based (Vizag, Andhra Pradesh) — relocation may be needed.",Senior Software Engineer (ML),Yellow.ai,5.7,"Vizag, Andhra Pradesh",AI/ML
4,CAND_0060835,61.5,0.80190754,0.0464836992323398,1.0,8.0,10.0,7.6,6.6,9.0,yes,"Matches 1/13 required skills (embeddings). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 6.6 years experience (senior software engineer (ml) at Sarvam AI), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 82/100). Direct industry match (ai/ml). Location match (Bangalore, Karnataka).",Senior Software Engineer (ML),Sarvam AI,6.6,"Bangalore, Karnataka",AI/ML
5,CAND_0059795,61.45,0.79353213,0.886208176612854,1.6,7.4,8.0,9.8,7.2,7.9,yes,"Matches 2/13 required skills (llms, python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 5.6 years experience (senior software engineer (ml) at Locobuzz), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 57/100). Highly responsive to recruiters (75%). Direct industry match (ai/ml). Location match (Mumbai, Maharashtra).",Senior Software Engineer (ML),Locobuzz,5.6,"Mumbai, Maharashtra",AI/ML
6,CAND_0073007,57.7,0.79444957,0.0242993906140327,1.8,5.8,8.0,9.2,6.7,8.4,maybe,"Matches 2/13 required skills (embeddings, computer vision). Missing: a/b testing, fine-tuning, go.... Below required experience: 5.8 years experience (ai specialist at Aganitha), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 66/100). Highly responsive to recruiters (83%). Direct industry match (ai/ml). Location match (Bangalore, Karnataka).",AI Specialist,Aganitha,5.8,"Bangalore, Karnataka",AI/ML
7,CAND_0004402,57.1,0.79136544,0.1832444220781326,0.9,5.9,10.0,9.6,7.2,2.0,maybe,"Matches 1/13 required skills (computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 6.0 years experience (ai research engineer at Yellow.ai), needs 9+. Actively open to new opportunities. Highly responsive to recruiters (83%). Direct industry match (ai/ml). Location match (Delhi, Delhi).",AI Research Engineer,Yellow.ai,6.0,"Delhi, Delhi",AI/ML
8,CAND_0003609,56.85,0.7892433,0.2494846731424331,1.0,7.7,9.4,7.4,4.8,7.5,maybe,"Matches 1/13 required skills (python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.1 years experience (senior software engineer (ml) at Sarvam AI), needs 9+. Strong open-source presence (GitHub score: 65/100). Direct industry match (ai/ml). India-based (Bhubaneswar, Odisha) — relocation may be needed.",Senior Software Engineer (ML),Sarvam AI,6.1,"Bhubaneswar, Odisha",AI/ML
9,CAND_0067183,56.3,0.778838,0.0228148214519023,2.2,6.0,9.4,6.4,7.0,4.6,maybe,"Matches 3/13 required skills (nlp, rag, computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 6.1 years experience (ml engineer at Sarvam AI), needs 9+. Actively open to new opportunities. Direct industry match (ai/ml). India-based (Vizag, Andhra Pradesh) — relocation may be needed.",ML Engineer,Sarvam AI,6.1,"Vizag, Andhra Pradesh",AI/ML
10,CAND_0078508,55.65,0.7927244,0.323453813791275,2.3,5.4,9.4,8.2,4.6,4.5,maybe,"Matches 3/13 required skills (llms, embeddings, nlp). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 5.2 years experience (ai research engineer at Rephrase.ai), needs 9+. Available quickly (30-day notice). Direct industry match (ai/ml). India-based (Chandigarh, Chandigarh) — relocation may be needed.",AI Research Engineer,Rephrase.ai,5.2,"Chandigarh, Chandigarh",AI/ML
11,CAND_0068985,54.1,0.78395516,0.7123355865478516,1.6,7.2,6.6,9.2,4.1,7.6,maybe,"Matches 2/13 required skills (rust, computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 5.2 years experience (senior software engineer (ml) at Locobuzz), needs 9+. Strong open-source presence (GitHub score: 62/100). Highly responsive to recruiters (88%). Direct industry match (ai/ml).",Senior Software Engineer (ML),Locobuzz,5.2,New York,AI/ML
12,CAND_0087744,53.75,0.7828763,0.9547374844551086,1.1,6.4,5.8,8.7,9.7,6.6,maybe,"Matches 1/13 required skills (computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 3.9 years experience (senior software engineer (ml) at Niramai), needs 9+. Actively open to new opportunities. Available quickly (30-day notice). Highly responsive to recruiters (88%). India-based (Indore, Madhya Pradesh) — relocation may be needed.",Senior Software Engineer (ML),Niramai,3.9,"Indore, Madhya Pradesh",HealthTech AI
13,CAND_0053605,53.45,0.80472434,0.2502707839012146,1.0,8.2,4.4,10.0,8.0,4.5,maybe,"Matches 1/13 required skills (rag). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.9 years experience (senior software engineer (ml) at Verloop.io), needs 9+. Actively open to new opportunities. Available quickly (30-day notice). Highly responsive to recruiters (88%). Location match (Noida, Uttar Pradesh).",Senior Software Engineer (ML),Verloop.io,6.9,"Noida, Uttar Pradesh",Conversational AI
14,CAND_0007008,53.2,0.77775687,0.1732709109783172,1.7,6.3,5.8,9.5,7.2,4.9,maybe,"Matches 2/13 required skills (computer vision, llms). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 3.7 years experience (senior software engineer (ml) at Genpact AI), needs 9+. Actively open to new opportunities. India-based (Coimbatore, Tamil Nadu) — relocation may be needed.",Senior Software Engineer (ML),Genpact AI,3.7,"Coimbatore, Tamil Nadu",AI Services
15,CAND_0095884,52.95,0.7761889,0.0098326643928885,1.6,6.3,10.0,6.5,3.5,4.6,maybe,"Matches 2/13 required skills (rag, python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 3.8 years experience (senior software engineer (ml) at Sarvam AI), needs 9+. Direct industry match (ai/ml). Location match (Bangalore, Karnataka).",Senior Software Engineer (ML),Sarvam AI,3.8,"Bangalore, Karnataka",AI/ML
16,CAND_0084161,52.85,0.8040503,0.0475673265755176,1.7,6.4,8.0,8.5,4.8,2.8,maybe,"Matches 2/13 required skills (python, llms). Missing: a/b testing, computer vision, embeddings.... Below required experience: 3.9 years experience (senior software engineer (ml) at Aganitha), needs 9+. Highly responsive to recruiters (77%). Direct industry match (ai/ml). Location match (Hyderabad, Telangana).",Senior Software Engineer (ML),Aganitha,3.9,"Hyderabad, Telangana",AI/ML
17,CAND_0075504,52.05,0.7775004,0.0207809563726186,2.6,4.1,10.0,8.2,5.7,6.1,maybe,"Matches 3/13 required skills (embeddings, rag, nlp). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 3.0 years experience (junior ml engineer at Yellow.ai), needs 9+. Actively open to new opportunities. Long notice period (120 days) may slow hiring. Strong open-source presence (GitHub score: 66/100). Direct industry match (ai/ml). Location match (Hyderabad, Telangana).",Junior ML Engineer,Yellow.ai,3.0,"Hyderabad, Telangana",AI/ML
18,CAND_0062707,51.85,0.78803504,0.0067047206684947,1.0,7.4,7.4,7.7,5.9,3.6,maybe,"Matches 1/13 required skills (python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 5.6 years experience (senior software engineer (ml) at Locobuzz), needs 9+. Actively open to new opportunities. Direct industry match (ai/ml). India-based (Kolkata, West Bengal) — relocation may be needed.",Senior Software Engineer (ML),Locobuzz,5.6,"Kolkata, West Bengal",AI/ML
19,CAND_0012988,50.75,0.77634126,0.909311056137085,1.0,6.6,6.4,8.6,5.0,7.7,maybe,"Matches 1/13 required skills (computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 4.3 years experience (senior software engineer (ml) at Niramai), needs 9+. Highly responsive to recruiters (73%). Location match (Mumbai, Maharashtra).",Senior Software Engineer (ML),Niramai,4.3,"Mumbai, Maharashtra",HealthTech AI
20,CAND_0080344,50.55,0.7935311,0.0712714046239852,1.7,7.0,4.4,8.1,7.8,5.4,maybe,"Matches 2/13 required skills (llms, computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 4.9 years experience (senior software engineer (ml) at Zoho), needs 9+. Actively open to new opportunities. Highly responsive to recruiters (70%). Location match (Hyderabad, Telangana).",Senior Software Engineer (ML),Zoho,4.9,"Hyderabad, Telangana",SaaS
21,CAND_0008218,50.25,0.7826556,0.1764292865991592,1.0,8.3,7.4,6.9,3.4,4.2,maybe,"Matches 1/13 required skills (rag). Missing: a/b testing, computer vision, embeddings.... Below required experience: 7.0 years experience (senior software engineer (ml) at Aganitha), needs 9+. Direct industry match (ai/ml). India-based (Coimbatore, Tamil Nadu) — relocation may be needed.",Senior Software Engineer (ML),Aganitha,7.0,"Coimbatore, Tamil Nadu",AI/ML
22,CAND_0058412,49.95,0.80994487,0.9457799196243286,1.7,8.0,3.8,8.6,4.9,6.9,maybe,"Matches 2/13 required skills (embeddings, rag). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 6.6 years experience (senior software engineer (ml) at InMobi), needs 9+. India-based (Indore, Madhya Pradesh) — relocation may be needed.",Senior Software Engineer (ML),InMobi,6.6,"Indore, Madhya Pradesh",AdTech
23,CAND_0094292,49.85,0.77463126,0.8975576758384705,2.5,6.2,4.4,8.7,7.1,2.0,maybe,"Matches 3/13 required skills (computer vision, llms, nlp). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 6.5 years experience (ai specialist at Vedantu), needs 9+. Actively open to new opportunities. Location match (Mumbai, Maharashtra).",AI Specialist,Vedantu,6.5,"Mumbai, Maharashtra",EdTech
24,CAND_0001131,49.8,0.77232575,0.0524223744869232,1.8,5.8,4.4,9.2,6.7,7.0,maybe,"Matches 2/13 required skills (computer vision, rag). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 5.8 years experience (ml engineer at Wysa), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 51/100). Location match (Chennai, Tamil Nadu).",ML Engineer,Wysa,5.8,"Chennai, Tamil Nadu",HealthTech AI
25,CAND_0074648,49.6,0.7805077,0.4899042546749115,1.7,4.8,7.4,9.7,3.1,4.9,maybe,"Matches 2/13 required skills (embeddings, python). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 4.1 years experience (ai research engineer at Flipkart), needs 9+. Highly responsive to recruiters (82%). Direct industry match (e-commerce). India-based (Ahmedabad, Gujarat) — relocation may be needed.",AI Research Engineer,Flipkart,4.1,"Ahmedabad, Gujarat",E-commerce
26,CAND_0010541,49.4,0.77267647,0.0940362513065338,2.3,6.0,4.4,8.1,6.5,6.1,maybe,"Matches 3/13 required skills (computer vision, python, nlp). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 6.2 years experience (ai research engineer at Wysa), needs 9+. Actively open to new opportunities. Location match (Hyderabad, Telangana).",AI Research Engineer,Wysa,6.2,"Hyderabad, Telangana",HealthTech AI
27,CAND_0091899,49.4,0.8102303,0.0839585810899734,1.8,7.5,4.4,8.6,4.8,5.0,maybe,"Matches 2/13 required skills (computer vision, nlp). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 5.8 years experience (senior software engineer (ml) at PhonePe), needs 9+. Location match (Delhi, Delhi).",Senior Software Engineer (ML),PhonePe,5.8,"Delhi, Delhi",Fintech
28,CAND_0051545,48.95,0.79508364,0.0121336495503783,0.8,4.2,8.0,9.8,5.1,4.7,maybe,"Matches 1/13 required skills (rag). Missing: a/b testing, computer vision, embeddings.... Below required experience: 3.2 years experience (ai research engineer at Flipkart), needs 9+. Highly responsive to recruiters (84%). Direct industry match (e-commerce). Location match (Chennai, Tamil Nadu).",AI Research Engineer,Flipkart,3.2,"Chennai, Tamil Nadu",E-commerce
29,CAND_0015097,48.8,0.82995224,0.1148416399955749,1.5,7.7,3.8,8.5,6.9,3.3,maybe,"Matches 2/13 required skills (python, nlp). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.0 years experience (senior software engineer (ml) at Zoho), needs 9+. Actively open to new opportunities. Available quickly (30-day notice). India-based (Coimbatore, Tamil Nadu) — relocation may be needed.",Senior Software Engineer (ML),Zoho,6.0,"Coimbatore, Tamil Nadu",SaaS
30,CAND_0015967,48.75,0.78694063,0.088435485959053,1.8,7.3,4.4,6.5,8.6,3.2,maybe,"Matches 2/13 required skills (llms, embeddings). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 5.4 years experience (senior software engineer (ml) at Razorpay), needs 9+. Actively open to new opportunities. Available quickly (30-day notice). Location match (Hyderabad, Telangana).",Senior Software Engineer (ML),Razorpay,5.4,"Hyderabad, Telangana",Fintech
31,CAND_0021491,48.35,0.78122425,0.0648436024785041,1.8,6.0,3.8,9.3,5.1,8.6,maybe,"Matches 2/13 required skills (python, computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 6.1 years experience (ai research engineer at Wysa), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 64/100). India-based (Bhubaneswar, Odisha) — relocation may be needed.",AI Research Engineer,Wysa,6.1,"Bhubaneswar, Odisha",HealthTech AI
32,CAND_0061156,48.05,0.80950105,0.9278076887130736,1.0,7.7,8.6,8.5,3.7,2.0,maybe,"Matches 1/13 required skills (python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.0 years experience (senior software engineer (ml) at Sarvam AI), needs 9+. Long notice period (120 days) may slow hiring. Direct industry match (ai/ml).",Senior Software Engineer (ML),Sarvam AI,6.0,Seattle,AI/ML
33,CAND_0022720,47.85,0.79826945,0.5531237721443176,1.2,6.2,8.6,8.8,1.9,9.1,maybe,"Matches 1/13 required skills (llms). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.5 years experience (ai research engineer at Sarvam AI), needs 9+. Long notice period (120 days) may slow hiring. Strong open-source presence (GitHub score: 65/100). Direct industry match (ai/ml).",AI Research Engineer,Sarvam AI,6.5,Sydney,AI/ML
34,CAND_0091254,47.8,0.7796581,0.942547619342804,2.4,5.4,3.8,9.0,6.2,5.0,maybe,"Matches 3/13 required skills (nlp, python, computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 5.2 years experience (ai research engineer at Zoho), needs 9+. Actively open to new opportunities. India-based (Chandigarh, Chandigarh) — relocation may be needed.",AI Research Engineer,Zoho,5.2,"Chandigarh, Chandigarh",SaaS
35,CAND_0060886,47.75,0.795002,0.0966226831078529,1.0,6.8,5.8,6.1,8.8,3.2,maybe,"Matches 1/13 required skills (python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 4.6 years experience (senior software engineer (ml) at Genpact AI), needs 9+. Actively open to new opportunities. India-based (Jaipur, Rajasthan) — relocation may be needed.",Senior Software Engineer (ML),Genpact AI,4.6,"Jaipur, Rajasthan",AI Services
36,CAND_0066791,47.65,0.77197254,0.989641010761261,1.1,7.4,8.0,8.6,4.2,2.9,maybe,"Matches 1/13 required skills (python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 5.6 years experience (senior software engineer (ml) at Krutrim), needs 9+. Actively open to new opportunities. Long notice period (120 days) may slow hiring. Direct industry match (ai/ml). Location match (Pune, Maharashtra).",Senior Software Engineer (ML),Krutrim,5.6,"Pune, Maharashtra",AI/ML
37,CAND_0098952,47.1,0.78077745,0.9824765920639038,1.7,5.6,3.8,8.2,7.5,6.8,maybe,"Matches 2/13 required skills (nlp, python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 5.5 years experience (ai research engineer at CRED), needs 9+. Actively open to new opportunities. India-based (Gurgaon, Haryana) — relocation may be needed.",AI Research Engineer,CRED,5.5,"Gurgaon, Haryana",Fintech
38,CAND_0059017,46.85,0.77567726,0.9179732799530028,0.9,6.4,3.8,8.5,7.6,6.8,maybe,"Matches 1/13 required skills (python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.8 years experience (ai research engineer at PhonePe), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 76/100). Highly responsive to recruiters (75%). India-based (Ahmedabad, Gujarat) — relocation may be needed.",AI Research Engineer,PhonePe,6.8,"Ahmedabad, Gujarat",Fintech
39,CAND_0044829,46.8,0.7841682,0.0035150020848959,1.7,4.3,9.4,7.8,5.7,3.8,maybe,"Matches 2/13 required skills (nlp, rust). Missing: a/b testing, computer vision, embeddings.... Below required experience: 3.4 years experience (ai specialist at Observe.AI), needs 9+. Actively open to new opportunities. Long notice period (120 days) may slow hiring. Highly responsive to recruiters (86%). Direct industry match (ai/ml). India-based (Trivandrum, Kerala) — relocation may be needed.",AI Specialist,Observe.AI,3.4,"Trivandrum, Kerala",AI/ML
40,CAND_0077261,46.7,0.7944504,0.0551386438310146,0.9,5.7,7.4,6.3,5.6,5.5,maybe,"Matches 1/13 required skills (rag). Missing: a/b testing, computer vision, embeddings.... Below required experience: 5.7 years experience (ai specialist at Meesho), needs 9+. Actively open to new opportunities. Highly responsive to recruiters (81%). Direct industry match (e-commerce). India-based (Chandigarh, Chandigarh) — relocation may be needed.",AI Specialist,Meesho,5.7,"Chandigarh, Chandigarh",E-commerce
41,CAND_0046459,45.95,0.7976304,0.7824562191963196,1.7,5.0,4.4,8.9,7.3,2.8,maybe,"Matches 2/13 required skills (rag, python). Missing: a/b testing, computer vision, embeddings.... Below required experience: 4.5 years experience (ai research engineer at upGrad), needs 9+. Actively open to new opportunities. Available quickly (30-day notice). Highly responsive to recruiters (84%). Location match (Pune, Maharashtra).",AI Research Engineer,upGrad,4.5,"Pune, Maharashtra",EdTech
42,CAND_0065139,45.95,0.7969788,0.0599446967244148,1.6,5.4,5.8,8.3,5.3,2.0,maybe,"Matches 2/13 required skills (rag, computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 5.2 years experience (ai research engineer at Niramai), needs 9+. Highly responsive to recruiters (82%). India-based (Bhubaneswar, Odisha) — relocation may be needed.",AI Research Engineer,Niramai,5.2,"Bhubaneswar, Odisha",HealthTech AI
43,CAND_0043676,45.85,0.7943245,0.0393108874559402,0.3,7.7,10.0,7.6,9.0,8.3,maybe,"No direct skill overlap with required skills (a/b testing, computer vision, embeddings). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.1 years experience (senior software engineer (ml) at Observe.AI), needs 9+. Actively open to new opportunities. Available quickly (30-day notice). Strong open-source presence (GitHub score: 85/100). Direct industry match (ai/ml). Location match (Delhi, Delhi).",Senior Software Engineer (ML),Observe.AI,6.1,"Delhi, Delhi",AI/ML
44,CAND_0045778,45.85,0.77186334,0.5951801538467407,0.7,6.7,3.8,9.7,4.7,7.0,maybe,"Matches 1/13 required skills (llms). Missing: a/b testing, computer vision, embeddings.... Below required experience: 4.4 years experience (senior software engineer (ml) at PhonePe), needs 9+. Actively open to new opportunities. Strong open-source presence (GitHub score: 84/100). Highly responsive to recruiters (83%). India-based (Ahmedabad, Gujarat) — relocation may be needed.",Senior Software Engineer (ML),PhonePe,4.4,"Ahmedabad, Gujarat",Fintech
45,CAND_0060538,45.5,0.798635,0.9781463146209716,1.8,5.4,4.4,8.4,5.2,5.4,maybe,"Matches 2/13 required skills (embeddings, rust). Missing: a/b testing, computer vision, fine-tuning.... Below required experience: 5.2 years experience (ml engineer at Verloop.io), needs 9+. Actively open to new opportunities. Location match (Pune, Maharashtra).",ML Engineer,Verloop.io,5.2,"Pune, Maharashtra",Conversational AI
46,CAND_0066713,45.5,0.7747885,0.0676038563251495,1.5,7.5,7.4,6.8,5.0,2.0,maybe,"Matches 2/13 required skills (python, computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 5.7 years experience (senior software engineer (ml) at Flipkart), needs 9+. Long notice period (120 days) may slow hiring. Direct industry match (e-commerce). India-based (Ahmedabad, Gujarat) — relocation may be needed.",Senior Software Engineer (ML),Flipkart,5.7,"Ahmedabad, Gujarat",E-commerce
47,CAND_0009516,45.4,0.7737858,0.5869883894920349,1.5,6.5,3.0,8.1,5.3,8.9,maybe,"Matches 2/13 required skills (nlp, rag). Missing: a/b testing, computer vision, embeddings.... Below required experience: 6.9 years experience (ai specialist at Verloop.io), needs 9+. Available quickly (30-day notice). Strong open-source presence (GitHub score: 76/100).",AI Specialist,Verloop.io,6.9,New York,Conversational AI
48,CAND_0019288,45.3,0.77319777,0.78650963306427,1.1,5.7,4.4,7.6,8.0,4.8,maybe,"Matches 1/13 required skills (nlp). Missing: a/b testing, computer vision, embeddings.... Below required experience: 5.7 years experience (ai research engineer at Paytm), needs 9+. Actively open to new opportunities. Available quickly (30-day notice). Location match (Noida, Uttar Pradesh).",AI Research Engineer,Paytm,5.7,"Noida, Uttar Pradesh",Fintech
49,CAND_0058146,45.25,0.7954638,0.1364027708768844,1.6,5.4,3.8,9.3,4.6,7.0,maybe,"Matches 2/13 required skills (llms, computer vision). Missing: a/b testing, embeddings, fine-tuning.... Below required experience: 5.1 years experience (ai research engineer at PolicyBazaar), needs 9+. Strong open-source presence (GitHub score: 80/100). Highly responsive to recruiters (79%). India-based (Ahmedabad, Gujarat) — relocation may be needed.",AI Research Engineer,PolicyBazaar,5.1,"Ahmedabad, Gujarat",Insurance Tech
